site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Bariha;4;10;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Bariha;5;6;2000;g;0;1;3000;0;1000;1000;com;NA;NA;NA;NA;NA;NA
Bariha;5;7;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Bariha;5;8;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Bariha;5;9;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Bariha;5;10;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Bariha;6;6;2900;g;0;1;3000;0;100;100;com;NA;NA;NA;NA;NA;NA
Bariha;6;7;2000;g;0;1;3000;0;1000;1000;com;NA;NA;NA;NA;NA;NA
Bariha;6;8;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Bariha;6;9;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Bariha;6;10;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Bariha;7;6;2800;g;0;1;3000;0;200;200;com;NA;NA;NA;NA;NA;NA
Bariha;7;7;2900;g;0;1;3000;0;100;100;com;NA;NA;NA;NA;NA;NA
Bariha;7;8;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Bariha;7;9;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Bariha;7;10;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Bariha;8;6;2600;w;1;0;5500;15000;400;15400;com;NA;NA;NA;NA;NA;NA
Bariha;8;7;2500;w;1;0;5500;15000;500;15500;com;NA;NA;NA;NA;NA;NA
Bariha;8;8;2200;w;1;0;5500;15000;800;15800;com;NA;NA;NA;NA;NA;NA
Bariha;8;9;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Bariha;8;10;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Bariha;9;6;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Bariha;9;7;3000;w;1;0;5500;15000;0;15000;com;NA;NA;NA;NA;NA;NA
Bariha;9;8;2700;g;0;1;3000;0;300;300;com;NA;NA;NA;NA;NA;NA
Bariha;9;9;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Bariha;9;10;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Bariha;10;6;2000;g;0;1;3000;0;1000;1000;com;NA;NA;NA;NA;NA;NA
Bariha;10;7;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Bariha;10;8;1900;g;0;1;3000;0;1100;1100;com;NA;NA;NA;NA;NA;NA
Bariha;10;9;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Bariha;10;10;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Bariha;11;6;700;g;0;1;3000;0;2300;2300;com;NA;NA;NA;NA;NA;NA
Bariha;11;7;700;g;0;1;3000;13000;2300;15300;com;NA;NA;NA;NA;NA;NA
Bariha;11;8;1000;g;0;1;3000;0;2000;2000;com;NA;NA;NA;NA;NA;NA
Bariha;11;9;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Bariha;11;10;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Bariha;12;6;3000;g;0;1;3000;0;0;0;com;NA;NA;NA;NA;NA;NA
Bariha;12;7;3000;g;0;1;3000;0;0;0;com;NA;NA;NA;NA;NA;NA
Bariha;12;8;1400;g;0;1;3000;0;1600;1600;com;NA;NA;NA;NA;NA;NA
Bariha;12;9;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Bariha;12;10;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Bariha;13;6;1600;g;0;1;3000;0;1400;1400;com;NA;NA;NA;NA;NA;NA
Bariha;13;7;2300;g;0;1;3000;0;700;700;com;NA;NA;NA;NA;NA;NA
Bariha;13;8;1200;g;0;1;3000;0;1800;1800;com;NA;NA;NA;NA;NA;NA
Bariha;13;9;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Bariha;13;10;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Bariha;14;6;800;g;0;1;3000;0;2200;2200;com;NA;NA;NA;NA;NA;NA
Bariha;14;7;1200;g;0;1;3000;0;1800;1800;com;NA;NA;NA;NA;NA;NA
Bariha;14;8;1600;g;0;1;3000;0;1400;1400;com;NA;NA;NA;NA;NA;NA
Bariha;14;9;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Bariha;14;10;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Bariha;1;0;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Bariha;1;;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Bariha;1;;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Bariha;1;;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Bariha;1;;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Bariha;2;0;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Bariha;2;;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
